Abbreviation,Muscle Name,Mass (mg),±,Fiber length (cm),±,Pennation angle (deg),±,Muscle length (cm),±,PCSA (cm2),±,Lf/Lm,±
AB,Adductor brevis,66.83,3.26,1.16,0.07,0,0,1.57,0.09,0.06,0,0.75,0.02
AL,Adductor longus,235.5,11.86,1.07,0.08,4.2,1.7,1.62,0.06,0.21,0.01,0.66,0.04
AM,Adductor magnus,649.83,16.49,2.21,0.08,0,0,2.98,0.09,0.28,0.01,0.74,0.02
,Adductor tertius,685.17,18.37,1.98,0.04,0.6,0.6,2.47,0.07,0.33,0.01,0.8,0.02
BF,Biceps femoris,2670.83,95.48,3.4,0.06,3.6,3.5,5.1,0.08,0.74,0.03,0.67,0.02
,Dorsiflexors,271.17,15.9,1.39,0.13,9.17,2.05,2.49,0.38,0.16,0.11,0.58,0.06
EDL,Extensor digitorum longus,131.83,3.24,1.34,0.1,9,1.1,2.81,0.09,0.09,0.01,0.48,0.05
EHL,Extensor hallucis longus,19.5,0.67,1.18,0.07,5.7,1.6,1.74,0.09,0.02,0,0.68,0.02
FDL,Flexor digitorum longus,463.83,10.87,0.97,0.06,19.3,1.9,3.22,0.05,0.44,0.03,0.3,0.02
FHL,Flexor hallucis longis,29.67,1.69,0.89,0.03,7.5,2.1,1.81,0.19,0.03,0,0.51,0.04
LG,Gastrocnemius LH,1031.17,30.53,1.56,0.14,14.2,3.6,3.42,0.08,0.62,0.05,0.46,0.05
MG,Gastrocnemius MH,849.17,24.18,1.61,0.13,14,3.9,3.61,0.06,0.49,0.04,0.45,0.04
GMe,Gluteus medius,1992.33,47.38,2.43,0.11,0.6,0.8,3.64,0.16,0.79,0.05,0.67,0.05
CF,Gluteus superficialis,521,31.66,1.92,0.11,-1.1,0.7,2.55,0.17,0.26,0.01,0.56,0.03
GA,Gracilis caudal head,276,38.68,2.64,0.08,0,0,3.47,0.14,0.1,0.02,0.76,0.02
GP,Gracilis cranial head,173,27.68,2.57,0.13,0,0,3.04,0.15,0.06,0.01,0.84,0.01
,Hip abductors,1256.67,735.67,2.18,0.25,-0.28,0.83,3.09,0.54,0.52,0.26,0.72,0.04
,Hip adductors,402.3,118.84,1.28,0.39,0.94,0.81,2.42,0.37,0.2,0.05,0.75,0.03
,Hip extensors,1300.64,369.73,3.19,0.4,1.02,0.67,4.3,0.48,0.41,0.1,0.74,0.03
,Hip flexors,1365.08,419.75,1.76,0.6,21.25,4.17,4.38,1.17,0.69,0.02,0.39,0.03
,Knee extensors,711.83,250.48,1.49,0.2,16.77,4.83,3.01,0.18,0.42,0.14,0.5,0.06
,Knee flexors,890.81,261.32,2.72,0.37,5.69,2.33,4.14,0.31,0.33,0.08,0.65,0.06
MX,Muscle X,377,17.21,3.5,0.08,1,1,4.31,0.12,0.1,0.01,0.81,0.01
PerB,Peroneus brevis,124.67,4.45,0.82,0.02,12.6,2.8,2.92,0.11,0.14,0.01,0.28,0.01
PerL,Peroneus longus,177.5,7.01,0.89,0.08,20,3.1,2.76,0.04,0.19,0.02,0.32,0.03
,Plantarflexors†,371.56,117.83,1.19,0.15,14.88,2.21,3.04,0.22,0.27,0.07,0.4,0.05
Pla,"Plantaris*,†",397.5,16.87,1.37,0.07,16.4,3.2,4.08,0.07,0.26,0.01,0.34,0.02
IP,Psoas,1784.83,296.1,2.36,0.23,17.1,0.8,5.55,0.26,0.67,0.07,0.42,0.02
RF,Rectus femoris,945.33,33.23,1.16,0.1,25.4,4,3.21,0.11,0.71,0.05,0.36,0.04
SM,Semimembranosus,1452.83,39.84,3.09,0.13,2.1,2,4.27,0.12,0.45,0.02,0.72,0.02
ST,Semitendinosus,789.83,33.17,4.77,0.05,0,0,5.95,0.09,0.16,0.02,0.8,0.01
Sol,"Soleus*,†",134.67,4.57,1.97,0.19,3.9,2.4,2.83,0.19,0.07,0.01,0.69,0.04
TA,Tibialis anterior,662.17,17.7,1.64,0.07,12.8,1.2,2.91,0.04,0.38,0.02,0.57,0.03
TP,Tibialis posterior,135.83,9.71,0.6,0.04,26,7.3,2.67,0.01,0.19,0.03,0.23,0.01
VI,Vastus intermedius,170.67,15.53,1.14,0.08,6.9,1.2,2.64,0.16,0.14,0.01,0.44,0.04
VL,Vastus lateralis,1288.83,41.22,1.96,0.12,10,3.3,3.42,0.08,0.62,0.05,0.57,0.04
VM,Vastus medalis,442.5,44.81,1.7,0.04,24.7,3.4,2.79,0.09,0.22,0.02,0.61,0.02